Artist Display Name,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender
B. J. Harrison,,,9999,
Greenwood and Company,American,,9999,
Ernest Weber,American,,9999,
John Welch,American,1711,1789,
Stephen Whiting,,1728,1789,
George Grant Elmslie,American,1871,1952,
American Terra Cotta and Ceramic Company,American,1886,1927,
William Ellis Tucker,American,,9999,
I. P. Frink,American,1857,1974,
Henry N. Hooper and Company,American,1830,1868,
"Mitchell, Vance & Co.",,,,
W. H. Edge,,,9999,
James Carr,British,1820,1901,
William P. Babcock,American,1826,1899,
Achille Collas,French,1795,1859,
Ferdinand Barbedienne,French,1810,1892,
French Sculptor,American,,,
Enoch Wood,British,1759,1846,
Ralph Wood the Younger,British,1748,1795,
Joseph Wright (Wright of Derby),British,1734,1797,
Desprez Jr.,,1819,1830,
Antoine Bonnefoy,French,,,
Emile Dupont-Zipcy,,1822,1885,
Gilbert Stuart,American,1755,1828,
John Trumbull,American,1756,1843,
Edward Savage,American,1761,1817,
Charles Willson Peale,American,1741,1827,
Robert Ball Hughes,American,1806,1868,
Victor David Brenner,"American, born Lithuania",1871,1924,
Jean Ossaye Mombur,,1850,1896,
Miyagawa Kozan,,1842,1916,
William F. Shaw,American,1845,1900,
William Trost Richards,American,1833,1905,
Stiegel's Manheim Factory,American,1763,1774,
Stiegel's Elizabeth Furnace,American,1763,1774,
Anthony Rasch,American,1804,1858,
Frederick Clarke Withers,"American, born England",1828,1901,
Francis Hopkinson Smith,American,1838,1915,
Hiram Powers,American,1805,1873,
Kimbel and Cabus,American,1863,1882,
Mary Dering,American,1717,1779,Female
Elizabeth Dering,American,1715,1785,Female
Garret Schanck,American,1768,1795,
Van Voorhis & Schanck,American,1788,1793,
Gaius Fenn,American,1831,1843,
Jason Fenn,,1831,1843,
Augustin Dupré,French,1748,1833,
John Christian Rauschner,German,1760,1812,
Damián Hernández,Mexican,1607,1670,
Enrique Luis Ventosa,,,9999,
Thomas W. Commeraw,,1796,1819,
David Morgan,American,1797,1802,
Horace Goodwin,American,,9999,
Mack C. Webster,,1810,1840,
Philip Kline,American,1806,1834,
Christian Klinker,American,1773,1798,
Newcomb Pottery,American,1894,1940,
Mary W. Summey Smith,American,,1980,Female
F. Altoviti,,,9999,
Charles Wingender and Brother,American,,9999,
Frederick Hurten Rhead,"American, born England",1880,1942,
Rhead Pottery,American,,9999,
John A. Bolen,American,1826,1906,
Anthony Paquet,American,1814,1882,
Rambert Dumarest,French,1760,1806,
Robert Lovett,American,1800,1830,
Miles Mill Pottery,,,,
